GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,PAST_TS,PAST_EFG,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,PAST_TS_OPP,PAST_EFG_OPP,TEAM_ELO,OPP_TEAM_ELO,ELO_WIN_PROB
21900091,WAS,DET,16,1,"NOV 04, 2019",0.2,0.2,117.2,-3.0,42.8,25.8,7.0,5.0,16.0,22.6,0.3812,0.5680547678979508,0.5367189635083847,0.429,0.4,107.8,-1.0,42.6,22.6,7.4,5.2,17.4,20.0,0.3866,0.568269890297831,0.5373498797957001,1471.961098902919,1489.986072670907,0.4740832253951494
21900094,MIN,MIL,-28,0,"NOV 04, 2019",0.8,0.8,118.0,3.0,46.2,24.4,10.8,5.4,17.2,20.8,0.3258,0.5620079177051835,0.5228682992867391,0.667,0.6,119.6,2.0,50.2,25.2,7.0,5.2,13.8,21.8,0.3554,0.5912723524600813,0.5639977451970528,1528.8697882222457,1520.5351791122612,0.511992166398081
21900092,BKN,NOP,10,1,"NOV 04, 2019",0.333,0.4,117.2,-2.0,51.2,24.0,7.0,4.6,19.2,22.4,0.3989999999999999,0.5732366105024636,0.5406918216270612,0.167,0.2,117.6,-4.0,44.8,29.6,8.4,4.2,15.4,23.6,0.3688,0.5692244743171893,0.5476923840464432,1479.724540120234,1462.6873307958049,0.5244988813648632
21900095,PHX,PHI,5,1,"NOV 04, 2019",0.667,0.6,113.4,2.0,44.0,27.8,8.4,2.6,16.4,28.4,0.3783999999999999,0.5760181270367937,0.5300902924594786,1.0,1.0,115.0,5.0,50.2,27.2,11.4,7.0,18.2,27.8,0.3168,0.5559820112017854,0.5178551024477767,1519.3729715642858,1548.881859651958,0.4576351163616159
21900093,MEM,HOU,-7,0,"NOV 04, 2019",0.2,0.2,106.6,-3.0,47.4,25.0,9.0,6.8,19.0,26.2,0.2904,0.5134351777423041,0.4760789827132267,0.5,0.6,123.4,0.0,41.4,24.4,8.4,4.8,16.0,23.0,0.2968,0.5763793139762632,0.5233751669012455,1471.98395477005,1498.3822601728996,0.4620827224278442
21900096,GSW,POR,9,1,"NOV 04, 2019",0.167,0.2,106.6,-4.0,44.4,25.2,7.6,3.4,15.8,20.6,0.3246,0.5396351517333493,0.4880849443945944,0.5,0.6,116.6,0.0,44.4,19.0,6.8,5.8,15.4,26.2,0.4248,0.599546259747336,0.5615503730824265,1461.694322475732,1501.0863370130128,0.443552004325988
21900102,DEN,MIA,20,1,"NOV 05, 2019",0.667,0.6,102.6,2.0,45.0,20.6,6.8,4.8,12.2,21.2,0.2942,0.5162679386869292,0.4669321930840386,0.833,0.8,117.4,4.0,46.2,28.8,10.2,6.8,18.2,22.8,0.4034,0.5972983012310717,0.5693679179207682,1515.9249069050472,1538.8164539990878,0.4671040036072977
21900100,CHI,LAL,-6,0,"NOV 05, 2019",0.286,0.2,100.0,-3.0,39.8,23.6,7.0,3.0,13.0,21.4,0.3166,0.50562890095147,0.4686350537743959,0.833,1.0,111.4,4.0,46.0,23.8,9.8,8.4,14.8,21.0,0.2926,0.55681174120833,0.5174791273249347,1470.6391194619987,1539.9038715089528,0.4016199211444081
21900098,CLE,BOS,-6,0,"NOV 05, 2019",0.333,0.4,109.0,-2.0,45.0,22.2,6.4,4.4,14.2,19.6,0.3598,0.5546149215956355,0.519905614500442,0.8,0.8,108.6,3.0,46.4,21.8,7.8,5.4,10.8,22.2,0.3432,0.5311471244728225,0.4882162994086382,1479.7370118592107,1528.5949987437637,0.4301475494168016
21900097,CHA,IND,2,1,"NOV 05, 2019",0.5,0.4,101.4,0.0,43.8,23.4,6.4,3.2,17.2,20.8,0.3461999999999999,0.539932697598432,0.5130671619899119,0.5,0.6,104.2,0.0,45.8,24.0,8.2,5.8,12.4,23.4,0.3117999999999999,0.5220318790676538,0.4857072058463885,1499.4889975171573,1501.0622510336052,0.4977359216655182
