GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900039,MIN,MIA,7,1,"OCT 27, 2019",1.0,1.0,124.0,2.0,52.0,26.5,10.0,5.0,14.0,21.5,0.309,1.0,1.0,125.5,2.0,52.5,25.5,8.0,5.5,18.5,31.5,0.3765,1520.0,1520.0
0021900040,LAL,CHA,19,1,"OCT 27, 2019",0.5,0.5,98.5,0.0,41.5,19.5,9.0,8.0,14.0,22.5,0.351,0.5,0.5,112.5,0.0,41.5,27.0,4.5,4.5,19.0,23.5,0.4685,1500.5750112778453,1500.0
0021900042,NYK,CHI,7,1,"OCT 28, 2019",0.0,0.0,105.0,-3.0,44.333333333333336,18.666666666666668,12.333333333333334,3.0,21.0,29.666666666666668,0.424,0.333,0.3333333333333333,106.33333333333333,-1.0,46.333333333333336,20.333333333333332,11.333333333333334,4.333333333333333,12.666666666666666,21.0,0.28099999999999997,1470.5915051270067,1489.9834498601524
0021900050,SAC,DEN,-7,0,"OCT 28, 2019",0.0,0.0,96.0,-3.0,40.333333333333336,16.666666666666668,6.666666666666667,3.3333333333333335,20.0,23.0,0.33966666666666673,1.0,1.0,108.0,2.0,45.0,22.5,9.0,8.0,16.5,24.5,0.411,1470.5585142891052,1520.0
0021900049,PHX,UTA,-1,0,"OCT 28, 2019",0.667,0.6666666666666666,120.33333333333333,1.0,49.0,29.333333333333332,9.0,4.333333333333333,15.666666666666666,31.333333333333332,0.338,0.667,0.6666666666666666,99.66666666666667,1.0,44.0,20.666666666666668,6.0,2.6666666666666665,18.0,26.0,0.35200000000000004,1510.56675634087,1508.8664744330495
0021900043,ATL,PHI,-2,0,"OCT 28, 2019",1.0,1.0,110.0,2.0,47.0,24.5,7.0,5.5,15.5,20.5,0.3275,1.0,1.0,112.0,2.0,50.0,27.0,10.0,5.0,18.5,30.0,0.3115,1520.2794617562658,1519.7039814439618
0021900047,NOP,GSW,-11,0,"OCT 28, 2019",0.0,0.0,120.33333333333333,-3.0,47.666666666666664,29.0,6.333333333333333,4.666666666666667,16.666666666666668,28.666666666666668,0.38266666666666665,0.0,0.0,107.0,-2.0,40.5,22.0,10.0,1.0,13.5,18.0,0.2545,1470.8462177367066,1479.9917251272818
0021900044,TOR,ORL,9,1,"OCT 28, 2019",0.667,0.6666666666666666,114.66666666666667,1.0,54.0,24.0,6.0,7.0,20.333333333333332,25.666666666666668,0.40233333333333327,0.5,0.5,96.5,0.0,46.0,19.5,10.0,5.5,11.5,16.5,0.23049999999999998,1509.4415388620023,1500.0082819270542
0021900046,MIL,CLE,17,1,"OCT 28, 2019",0.5,0.5,121.5,0.0,50.0,26.5,7.5,7.0,14.5,29.5,0.3315,0.5,0.5,97.5,0.0,49.0,21.5,8.5,4.5,17.0,17.5,0.31,1500.0,1500.0
0021900051,LAC,CHA,15,1,"OCT 28, 2019",0.667,0.6666666666666666,125.0,1.0,41.666666666666664,25.666666666666668,7.666666666666667,4.666666666666667,14.333333333333334,27.0,0.4206666666666667,0.333,0.3333333333333333,108.66666666666667,-1.0,42.666666666666664,24.333333333333332,5.333333333333333,4.333333333333333,17.333333333333332,22.333333333333332,0.4076666666666666,1509.14549997581,1490.0165501398476
