GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,PAST_TS,PAST_EFG,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,PAST_TS_OPP,PAST_EFG_OPP,TEAM_ELO,OPP_TEAM_ELO,ELO_WIN_PROB
0022300005,OKC,GSW,-2,0,"NOV 03, 2023",0.6,0.6,111.4,1.0,42.4,23.6,7.4,6.6,14.2,18.6,0.3658,0.585332194569026,0.5447171986874532,0.8,0.8,112.8,3.0,47.4,27.6,8.4,5.6,15.0,20.6,0.3584,0.5772243122279359,0.545531174041636,1509.6963939495804,1529.9525458973799,0.4708820383025573
0022300007,POR,MEM,2,1,"NOV 03, 2023",0.4,0.4,103.0,-1.0,44.8,19.4,8.4,5.6,15.8,20.8,0.2968,0.5279822697479954,0.4840137015291779,0.0,0.0,106.6,-5.0,43.2,23.8,9.8,6.6,15.2,21.4,0.3246,0.5328123914189538,0.49614197183890274,1492.2026960559806,1452.793800171786,0.5564719801115382
0022300135,NOP,ATL,-18,0,"NOV 04, 2023",0.8,0.8,108.8,3.0,45.6,23.0,7.4,5.0,13.4,19.8,0.343,0.5438644257080738,0.5115366747366354,0.6,0.6,122.8,1.0,45.0,27.6,9.6,3.8,14.4,16.8,0.34,0.6035227470291453,0.554486025929271,1528.8830138060862,1510.82122474933,0.5259696134277054
0022300139,DEN,CHI,22,1,"NOV 04, 2023",0.833,0.8,112.0,4.0,45.0,29.8,8.0,7.8,14.8,18.4,0.3442,0.5813839565542145,0.5694360075408462,0.333,0.4,106.0,-2.0,42.8,18.6,8.4,4.6,12.0,19.0,0.33540000000000003,0.5310061225854639,0.493108119350761,1537.2421086632096,1482.4245538499513,0.5782406428242635
0022300134,ORL,LAL,19,1,"NOV 04, 2023",0.6,0.6,107.6,1.0,45.8,23.8,10.8,5.2,14.4,21.4,0.3128,0.5483251280797675,0.5101635869661963,0.6,0.6,114.0,1.0,46.0,26.0,8.0,6.8,13.8,20.8,0.298,0.5688553927773745,0.5278502540256609,1508.4034741544365,1511.8902583231395,0.4949822826740244
0022300143,DAL,CHA,6,1,"NOV 05, 2023",0.8,0.8,120.8,3.0,43.0,23.6,6.8,4.0,12.8,16.4,0.40940000000000004,0.612755290383163,0.5818344374545925,0.4,0.4,116.0,-1.0,43.2,26.2,8.0,6.6,15.0,21.2,0.3224,0.5758762891450241,0.5301265562602773,1526.9738931904408,1489.2429278822124,0.5540867646011168
0022300142,CLE,GSW,11,1,"NOV 05, 2023",0.333,0.2,104.0,-2.0,45.2,23.4,7.0,6.8,13.0,19.6,0.3156,0.5363440141408982,0.5007609246739682,0.833,1.0,120.2,4.0,45.2,31.0,8.0,4.8,15.8,21.0,0.4018,0.6194792274785336,0.5904300117514939,1481.110329319805,1539.370186663431,0.4169344263977106
0022300140,DET,PHX,-14,0,"NOV 05, 2023",0.333,0.4,111.6,-2.0,46.6,28.4,6.6,4.8,17.6,26.8,0.40380000000000005,0.5633837478461763,0.5252501215316653,0.333,0.2,111.2,-2.0,41.4,24.8,8.2,6.6,14.8,16.8,0.3558,0.5898869543781502,0.5451228253937638,1480.8679544199088,1479.8119361941756,0.5015197277103939
0022300144,POR,MEM,-12,0,"NOV 05, 2023",0.5,0.6,103.8,0.0,46.8,19.2,8.8,6.2,15.2,19.8,0.2904,0.520337989474994,0.46926235744315636,0.0,0.0,108.4,-6.0,45.4,25.0,9.8,7.2,16.0,22.6,0.32599999999999996,0.5396932392333399,0.5077720084689394,1501.0732564537498,1443.9232397740168,0.5815116468492884
0022300141,SAS,TOR,-7,0,"NOV 05, 2023",0.6,0.6,115.0,1.0,40.6,29.6,9.0,5.8,16.4,20.2,0.36419999999999997,0.575813442788089,0.5473270965039759,0.333,0.2,106.0,-2.0,46.4,27.4,6.2,4.0,16.0,22.0,0.33420000000000005,0.5582087784175027,0.5330065513393893,1510.4960353093365,1480.0845337762744,0.5436542366434366
