GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,PAST_TS,PAST_EFG,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,PAST_TS_OPP,PAST_EFG_OPP,TEAM_ELO,OPP_TEAM_ELO,ELO_WIN_PROB
0022000073,MIL,CHI,30,1,"JAN 01, 2021",0.4,0.4,124.2,-1.0,49.6,25.2,9.0,4.6,14.8,21.0,0.41980000000000006,0.6079945222008504,0.5813042730440765,0.4,0.4,117.2,-1.0,42.6,26.0,7.4,4.0,17.6,21.8,0.372,0.5799935592590111,0.5348654831796982,1489.4882551292856,1490.0465353597635,0.49919657085622654
0022000080,IND,NYK,-4,0,"JAN 02, 2021",0.8,0.8,116.8,3.0,43.2,28.0,10.6,5.2,14.6,23.4,0.3342,0.5947266921963288,0.5697248231970619,0.4,0.4,100.8,-1.0,46.4,23.0,6.8,5.0,17.4,23.0,0.3882,0.5356564373679071,0.49962199641318944,1527.784418008956,1491.3462296877437,0.5522473472250353
0022000083,ATL,CLE,-5,0,"JAN 02, 2021",0.8,0.8,125.8,3.0,49.4,25.6,5.6,4.0,14.0,22.0,0.40759999999999996,0.6205172521988795,0.569759951998347,0.6,0.6,110.4,1.0,46.4,27.6,11.2,5.8,16.6,21.4,0.4064,0.5557460723678553,0.5328845729077016,1527.1973251705062,1508.3112237534363,0.5271525460719891
0022000082,PHI,CHA,15,1,"JAN 02, 2021",0.8,0.8,106.4,3.0,48.2,22.0,9.2,7.8,16.2,20.2,0.3356,0.5507171026322045,0.506765370160176,0.4,0.4,107.6,-1.0,44.6,28.8,8.8,5.0,16.2,21.4,0.359,0.5445761386466315,0.5234247252289262,1529.139560138946,1490.8498934779525,0.5548812531574997
0022000089,SAS,UTA,-21,0,"JAN 03, 2021",0.4,0.4,111.0,-1.0,46.4,27.6,5.6,6.6,12.8,19.8,0.3834,0.552395477246277,0.5207800322192541,0.6,0.6,108.4,1.0,50.2,21.4,5.6,3.8,14.2,18.0,0.349,0.5514935378642829,0.5206602609465248,1488.946352242886,1511.3659447262125,0.4677803209527352
0022000090,CHI,DAL,10,1,"JAN 03, 2021",0.333,0.4,115.6,-2.0,43.6,25.6,7.4,4.6,18.6,21.6,0.37239999999999995,0.5754902856414177,0.5371643337544107,0.4,0.4,106.6,-1.0,41.6,20.8,9.6,2.8,11.2,20.0,0.32,0.5559958429942606,0.5140843981323954,1480.030466776888,1491.6959191628653,0.4832183702425937
0022000086,BKN,WAS,-1,0,"JAN 03, 2021",0.5,0.4,115.8,0.0,44.8,24.2,6.8,6.0,14.8,19.8,0.3728,0.5838682066070124,0.5462640236439084,0.167,0.2,120.0,-4.0,43.4,28.4,6.8,4.0,15.2,25.0,0.3678,0.5936652517903531,0.5604375092718475,1499.163680671589,1463.5504941256775,0.5510727489905887
0022000088,MIN,DEN,-15,0,"JAN 03, 2021",0.4,0.4,105.6,-1.0,43.6,21.8,8.4,5.0,14.2,21.0,0.318,0.517288683538409,0.488435566584912,0.2,0.2,114.4,-3.0,41.4,27.8,7.0,5.0,14.4,21.2,0.36819999999999997,0.5879394458442002,0.5577323697306895,1488.0424656955315,1472.7703705886745,0.521964167128239
0022000085,DET,BOS,-2,0,"JAN 03, 2021",0.2,0.2,108.4,-3.0,48.4,23.2,7.6,3.8,15.2,21.4,0.3194,0.5217108493528699,0.48889150904528583,0.5,0.4,107.4,0.0,43.2,22.4,11.6,7.4,16.4,20.2,0.3528,0.5632640608693689,0.5364708803419069,1473.6207631533316,1499.9560080625158,0.46217295311414847
0022000092,GSW,POR,15,1,"JAN 03, 2021",0.4,0.4,108.2,-1.0,43.0,21.0,8.0,6.6,15.0,25.0,0.3064,0.5218911052080143,0.4674761114967644,0.6,0.6,114.2,1.0,44.4,22.8,8.2,4.2,11.0,19.6,0.383,0.5636744828276905,0.5238277919863598,1489.5274255946676,1510.7686895240436,0.46946939322967934
0022000091,PHX,LAC,-5,0,"JAN 03, 2021",0.833,0.8,108.4,4.0,41.0,26.6,5.4,4.4,12.4,19.6,0.388,0.5811133777291153,0.5507090294124368,0.667,0.6,109.2,2.0,42.0,25.2,7.2,6.0,12.2,22.6,0.40099999999999997,0.5865736598480463,0.5460066103254958,1538.8647337894197,1517.314053939503,0.5309742076004922
0022000087,MEM,LAL,-14,0,"JAN 03, 2021",0.4,0.4,112.4,-1.0,47.6,25.4,7.8,5.4,15.4,19.0,0.3298,0.5435462815973734,0.5099610008123227,0.667,0.8,120.4,2.0,49.0,27.4,6.6,6.6,15.4,20.0,0.438,0.6124529584590366,0.588587512592792,1492.250260111658,1520.1826316141605,0.45988846903658237
0022000101,GSW,SAC,31,1,"JAN 04, 2021",0.5,0.6,115.8,0.0,44.2,20.4,7.6,6.8,14.4,25.0,0.32220000000000004,0.5642266818177845,0.5087639902846431,0.5,0.4,108.8,0.0,44.8,21.6,6.8,4.8,14.4,21.0,0.35819999999999996,0.5473514969471489,0.5122860928814698,1500.138037730074,1497.2660716367145,0.5041329973111767
0022000093,ORL,CLE,20,1,"JAN 04, 2021",0.667,0.6,111.8,2.0,49.6,21.6,7.0,2.2,10.2,18.2,0.30920000000000003,0.5287799241379663,0.47982907636738903,0.667,0.6,105.4,2.0,45.6,24.6,10.8,5.6,16.0,21.2,0.3612,0.5269229928748009,0.5022542836567228,1515.6115984264527,1518.854274674876,0.4953335492500553
0022000097,TOR,BOS,-12,0,"JAN 04, 2021",0.2,0.2,104.4,-3.0,44.2,24.2,8.6,6.2,15.0,24.8,0.33340000000000003,0.5339968431465231,0.49972599962760045,0.571,0.6,112.8,1.0,42.0,24.8,11.2,7.4,16.8,19.2,0.3846,0.605523715270509,0.5826824684254162,1473.0768099840363,1509.1994671247987,0.4482018229199107
0022000095,ATL,NYK,-5,0,"JAN 04, 2021",0.667,0.6,119.2,2.0,49.8,25.2,6.2,4.4,13.8,20.2,0.3964,0.5843110933967187,0.5400540696454057,0.5,0.6,100.6,0.0,48.6,22.6,6.0,4.0,17.2,20.8,0.3912,0.5426439567160648,0.5094022940744226,1516.6542742490665,1502.3911766322444,0.5205147242264317
0022000100,NOP,IND,-2,0,"JAN 04, 2021",0.667,0.6,103.0,2.0,49.2,20.0,8.4,4.0,13.6,16.8,0.26959999999999995,0.5284581075649614,0.486416416190833,0.667,0.6,113.0,2.0,39.6,26.8,10.6,4.2,13.6,22.8,0.36319999999999997,0.5923544206754239,0.5669132730450862,1518.9475066392856,1516.7394710644553,0.5031775758449967
0022000099,MIL,DET,10,1,"JAN 04, 2021",0.5,0.6,125.2,0.0,48.0,26.8,11.4,4.6,15.0,20.8,0.43760000000000004,0.6127338330643675,0.5882323776192399,0.167,0.2,112.2,-4.0,46.2,23.2,8.2,4.8,14.6,20.6,0.36239999999999994,0.5407806644865316,0.4974686533313573,1499.504323712161,1464.3773040910487,0.5503802999679104
0022000094,PHI,CHA,17,1,"JAN 04, 2021",0.833,0.8,109.2,4.0,47.8,24.6,9.0,7.6,17.2,18.6,0.3698,0.5797470284883974,0.5425576006272209,0.333,0.4,107.2,-2.0,46.2,29.8,9.8,5.2,15.6,21.6,0.3604,0.5348390449793451,0.502386077885931,1538.0419350757961,1481.9475185411025,0.5800321611985924
